sample_name,participant,source_run,status,reason,first_action_original_frame_idx,first_action_frame_name,last_action_original_frame_idx,last_action_frame_name,trim_start_original_frame_idx,trim_start_frame_name,trim_start_timestamp,trim_end_original_frame_idx,trim_end_frame_name,trim_end_timestamp,frame_annotation_original_rows,frame_annotation_keep_rows,frame_annotation_before_rows,frame_annotation_after_rows,001431512812_original_frames,001431512812_keep_frames,001431512812_before_frames,001431512812_after_frames,001484412812_original_frames,001484412812_keep_frames,001484412812_before_frames,001484412812_after_frames,001528512812_original_frames,001528512812_keep_frames,001528512812_before_frames,001528512812_after_frames,mindrove_left_original_rows,mindrove_left_keep_rows,mindrove_left_before_rows,mindrove_left_after_rows,mindrove_right_original_rows,mindrove_right_keep_rows,mindrove_right_before_rows,mindrove_right_after_rows
run_sample_000031,D,run_10,ok,,1397,20260313_111439_217473.jpg,6139,20260313_111717_336075.jpg,1367,20260313_111438_204497.jpg,20260313_111438_204497,6169,20260313_111718_327515.jpg,20260313_111718_327515,6325,4803,1366,156,6326,4802,1367,157,6325,4803,1366,156,6327,4802,1367,158,106500,80002,20648,5850,106500,80070,20576,5854
run_sample_000032,D,run_11,ok,,652,20260313_111823_206158.jpg,2207,20260313_111915_029642.jpg,622,20260313_111822_179018.jpg,20260313_111822_179018,2237,20260313_111916_038794.jpg,20260313_111916_038794,2371,1616,621,134,2371,1616,621,134,2371,1616,621,134,2371,1616,621,134,43000,26910,10554,5536,43004,26932,10578,5494
run_sample_000033,D,run_12,ok,,753,20260313_112025_972107.jpg,2449,20260313_112122_546841.jpg,723,20260313_112024_981413.jpg,20260313_112024_981413,2479,20260313_112123_535460.jpg,20260313_112123_535460,2592,1757,722,113,2592,1756,722,114,2592,1757,722,113,2592,1755,723,114,46000,29254,11912,4834,46337,29282,11986,5069
run_sample_000034,D,run_14,ok,,621,20260313_112354_250476.jpg,3914,20260313_112544_070733.jpg,591,20260313_112353_256584.jpg,20260313_112353_256584,3944,20260313_112545_058763.jpg,20260313_112545_058763,4189,3354,590,245,4189,3353,590,246,4189,3354,590,245,4189,3353,590,246,74000,55858,10972,7170,74000,55882,11136,6982
run_sample_000035,D,run_15,ok,,674,20260325_100724_392203.jpg,6247,20260325_101030_305389.jpg,644,20260325_100723_431244.jpg,20260325_100723_431244,6277,20260325_101031_331212.jpg,20260325_101031_331212,6376,5634,643,99,6369,5626,645,98,6376,5634,643,99,6378,5638,642,98,112500,93896,13072,5532,113000,93994,13398,5608
run_sample_000036,D,run_16,ok,,478,20260325_101146_208592.jpg,2013,20260325_101237_388306.jpg,448,20260325_101145_216104.jpg,20260325_101145_216104,2043,20260325_101238_402265.jpg,20260325_101238_402265,2164,1596,447,121,2165,1595,449,121,2164,1596,447,121,2164,1594,449,121,40500,26580,7894,6026,40500,26594,7850,6056
run_sample_000037,D,run_17,ok,,481,20260325_101338_130975.jpg,1789,20260325_101421_764679.jpg,451,20260325_101337_122044.jpg,20260325_101337_122044,1819,20260325_101422_764735.jpg,20260325_101422_764735,1936,1369,450,117,1937,1369,450,118,1936,1369,450,117,1936,1369,450,117,34500,22810,7320,4370,35000,22830,7314,4856
run_sample_000038,D,run_18,ok,,460,20260325_101559_345375.jpg,3908,20260325_101754_458181.jpg,430,20260325_101558_357152.jpg,20260325_101558_357152,3938,20260325_101755_469351.jpg,20260325_101755_469351,4138,3509,429,200,4143,3511,431,201,4138,3509,429,200,4143,3512,431,200,72000,58524,7900,5576,72500,58572,7956,5972
run_sample_000039,D,run_19,ok,,585,20260325_102029_267522.jpg,4974,20260325_102255_609410.jpg,555,20260325_102028_255128.jpg,20260325_102028_255128,5004,20260325_102256_603299.jpg,20260325_102256_603299,5084,4450,554,80,5085,4450,555,80,5084,4450,554,80,5084,4450,554,80,86500,74084,8774,3642,87000,74170,9010,3820
run_sample_000040,D,run_20,ok,,466,20260325_102353_107335.jpg,1513,20260325_102428_048413.jpg,436,20260325_102352_092654.jpg,20260325_102352_092654,1543,20260325_102429_061894.jpg,20260325_102429_061894,1634,1108,435,91,1634,1109,434,91,1634,1108,435,91,1636,1109,436,91,32000,18474,8086,5440,32000,18490,7932,5578
