model,participant,analysis_scope,generated_views,changed_fraction,mean_kendall,mean_changed_position_fraction,mean_absolute_index_shift,latest_token_moved_fraction,graph_valid_fraction,graph_valid_regression_rate,target_appended_graph_valid_fraction,target_graph_valid_regression_rate,target_immediate_predecessor_ok_fraction,target_immediate_predecessor_regression_rate,immediate_constraint_violation_increase_rate,novel_transition_fraction,real_prefix_fraction,mean_actual_transition_log_probability,mean_augmented_transition_log_probability,stage_backward_increase_rate,samples,mean_unique_ratio,mean_duplicate_ratio,all_views_identical_fraction,all_unchanged_fraction
A1-Legacy-Once,M,all_generated_views,2043,0.5369554576603035,0.12018536409798657,0.3122180752862316,0.9597912427470274,0.16837983357807146,1.0,0.0,0.9985315712187959,0.0,0.9853157121879589,0.0,0.0,0.13657590909652473,0.4855604503181596,-0.9361374189379427,-1.3059200190565001,0.0,681,0.684287812041116,0.31571218795888406,0.4419970631424376,0.4331864904552129
A1-Legacy-Every10-Replace,M,all_generated_views,10215,0.5402838962310328,0.12095963715970459,0.3132349643338858,0.9637041751871982,0.17562408223201176,1.0,0.0,0.9985315712187959,0.0,0.9853157121879589,0.0,0.0,0.13638297347123327,0.4819383259911894,-0.9361374189379426,-1.304560703570743,0.0,681,0.5119921683798336,0.4880078316201664,0.4287812041116006,0.42584434654919234
A3-DualPos-Once,M,all_generated_views,2043,0.30494371023005384,0.05287531997861146,0.16678662495488605,0.5891008080346346,0.0,0.9897209985315712,0.0,0.9882525697503671,0.0,0.9838472834067548,0.0,0.0,0.08492274383146792,0.6950562897699462,-0.9361374189379427,-1.1692869861189519,0.0,681,0.5359765051395007,0.4640234948604994,0.6930983847283406,0.6930983847283406
A3-DualPos-Every10,M,all_generated_views,10215,0.3052373959862947,0.05254448285675079,0.1659431222682893,0.5846438749644249,0.0,0.9897209985315712,0.0,0.9882525697503671,0.0,0.9838472834067548,0.0,0.0,0.084101183833286,0.6949583945178659,-0.9361374189379426,-1.1673740196802886,0.0,681,0.3479197258932942,0.6520802741067058,0.6930983847283406,0.6930983847283406
A1-Legacy-Once,A,changed_views_only,989,1.0,0.21452177929702404,0.5663882877209957,1.7216442260632316,0.3346814964610718,1.0,0.0,1.0,0.0,0.993933265925177,0.0,0.0,0.21214037314247716,0.03842264914054601,-1.365648524005252,-1.9252025814971108,0.0,623,0.6762974852862493,0.3237025147137507,0.4510433386837881,0.44141252006420545
A1-Legacy-Every10-Replace,A,changed_views_only,4982,1.0,0.2121181324368026,0.5619644207875415,1.71386737012629,0.33641107988759533,1.0,0.0,1.0,0.0,0.9939783219590526,0.0,0.0,0.20931025467875258,0.03894018466479326,-1.3654963495558965,-1.915856493429605,0.0,623,0.49930444087747455,0.5006955591225254,0.43659711075441415,0.4333868378812199
A3-DualPos-Once,A,changed_views_only,543,1.0,0.16388945763434942,0.5346358778405542,1.86419675085827,0.0,1.0,0.0,1.0,0.0,0.988950276243094,0.0,0.0,0.22448333157650235,0.0,-1.3263865373527735,-1.9384593790297233,0.0,623,0.527019796682718,0.472980203317282,0.7062600321027287,0.7062600321027287
A3-DualPos-Every10,A,changed_views_only,2719,1.0,0.164898784403213,0.5332273678727822,1.8634057277743634,0.0,1.0,0.0,1.0,0.0,0.9889665318131666,0.0,0.0,0.22090952577026,0.000735564545788893,-1.3285811602349997,-1.9322853547673553,0.0,623,0.3336543606206528,0.6663456393793472,0.7062600321027287,0.7062600321027287
A1-Legacy-Once,D,changed_views_only,1298,1.0,0.20426364362807323,0.547440065500948,1.6429562909949424,0.33821263482280434,1.0,0.0,1.0,0.0,0.9907550077041603,0.0,0.0,0.23045191830871795,0.039291217257318954,-1.1725513741545266,-1.8570904434013524,0.0,869,0.652090525508247,0.347909474491753,0.49252013808975836,0.4810126582278481
A1-Legacy-Every10-Replace,D,changed_views_only,6486,1.0,0.2043064639778346,0.5467679282666971,1.6478965626337327,0.34659266111625037,1.0,0.0,1.0,0.0,0.9907493061979649,0.0,0.0,0.2316415202097627,0.032377428307123035,-1.1706242532727145,-1.8561901813177297,0.0,869,0.4722669735327963,0.5277330264672037,0.475258918296893,0.47295742232451093
