comparison_model,condition,grouping,group,contributing_jobs,tier3_accuracy_delta_mean,tier3_accuracy_delta_sd,tier3_macro_f1_delta_mean,node_accuracy_delta_mean
A3-DualPos-Once,all,local_prefix_3,insufficient,12,-0.006898148148148163,0.06053838990014686,-0.005875190913774586,-0.006898148148148163
A3-DualPos-Once,all,local_prefix_3,seen,12,-0.013619427239064156,0.03857709746267702,-0.007313112081823041,-0.020879777376124748
A3-DualPos-Once,all,local_prefix_3,unseen,12,-0.015231312101494013,0.0535345181734055,-0.0033399470899470964,-0.015231312101494013
A3-DualPos-Once,all,local_suffix_1,insufficient,12,-0.02722222222222223,0.04594316500606387,0.015278382117514108,-0.02722222222222223
A3-DualPos-Once,all,local_suffix_1,seen,12,-0.011722022793642642,0.037259739420827276,-0.006732980402745957,-0.017671875870424986
A3-DualPos-Once,all,local_suffix_2,insufficient,12,-0.017083333333333357,0.057716981903075955,0.008708654621989572,-0.017083333333333357
A3-DualPos-Once,all,local_suffix_2,seen,12,-0.011812040407781213,0.03946972996932947,-0.008875381715269248,-0.018330706895835908
A3-DualPos-Once,all,local_suffix_2,unseen,12,-0.01566951566951566,0.04831009703751455,-0.009710351377018034,-0.01566951566951566
A3-DualPos-Once,all,stage,1,12,-0.008838383838383831,0.03875209983206929,-0.0034859500768591456,-0.008838383838383831
A3-DualPos-Once,all,stage,2,12,-0.015438383296318933,0.041292213034371174,-0.01814383847679758,-0.023117582565418304
A3-DualPos-Once,all,stage,3,12,0.0017846232496664671,0.05388440201878926,0.004187224812224759,0.0017846232496664671
A3-DualPos-Once,all,tail_reason,active_incomplete_atomic_prefix,12,-0.014092039435682028,0.0459430922557109,-0.01962206022661288,-0.021736496607630624
A3-DualPos-Once,all,tail_reason,atomic_sequence_complete,12,-0.023306194125159625,0.05376358066898121,-0.00596541318763541,-0.023306194125159625
A3-DualPos-Once,all,tail_reason,empty_history,12,-0.02722222222222223,0.04594316500606387,0.015278382117514108,-0.02722222222222223
A3-DualPos-Once,all,tail_reason,latest_node_not_atomic,12,0.002494094152166152,0.04015509150925418,0.004231888798401667,0.002494094152166152
A3-DualPos-Once,all,tail_reason,observed_atomic_nodes_not_prefix,12,-0.006249999999999996,0.07081104818779725,-0.0018162393162393282,-0.006249999999999996
A3-DualPos-Once,all,tail_reason,repeated_node_fallback,12,-0.018518518518518517,0.0932844522204161,-0.015114237614237616,-0.037037037037037035
A3-DualPos-Once,fault,active_tail,False,12,-0.014799028086648533,0.047774696799266096,-0.01608715736734308,-0.01834434972407543
A3-DualPos-Once,fault,active_tail,True,12,0.0028082010054482167,0.050455447642397254,-0.0012102198857971054,-0.008778998307266556
A3-DualPos-Once,fault,exact_full_prefix,False,12,-0.014794584500466853,0.05012056222939229,-0.021928228751844202,-0.02875350140056021
A3-DualPos-Once,fault,exact_full_prefix,True,12,0.00032132105715849496,0.04104957480531115,0.0008345576803055477,-0.005156408827898973
A3-DualPos-Once,fault,history_length,0,12,-0.04259259259259259,0.08010001230691245,-0.06150793650793651,-0.04259259259259259
A3-DualPos-Once,fault,history_length,1-2,12,0.02314814814814814,0.12027450209767963,0.01231939356939358,0.02314814814814814
A3-DualPos-Once,fault,history_length,11-20,12,-0.011419269321568162,0.06881608842126134,-0.021730453731908156,-0.02874288865668175
A3-DualPos-Once,fault,history_length,21+,12,-0.03333333333333333,0.1266707819888799,-0.02281746031746032,-0.04242424242424244
A3-DualPos-Once,fault,history_length,3-5,12,0.017746913580246906,0.06586431849463541,0.01009048821548822,0.014660493827160484
A3-DualPos-Once,fault,history_length,6-10,12,-0.004259259259259268,0.0544533765778191,0.007969557448724148,-0.012592592592592591
A3-DualPos-Once,fault,local_prefix_3,insufficient,12,0.0012345679012345696,0.0733862566799349,-0.01420857610550593,0.0012345679012345696
A3-DualPos-Once,fault,local_prefix_3,seen,12,-0.0007475250012563458,0.05026428853586121,-0.003482053150043333,-0.011853610734207756
A3-DualPos-Once,fault,local_prefix_3,unseen,12,-0.06042568542568543,0.06713103281045035,-0.0732407407407407,-0.06042568542568543
A3-DualPos-Once,fault,local_suffix_1,insufficient,12,-0.04259259259259259,0.08010001230691245,-0.06150793650793651,-0.04259259259259259
A3-DualPos-Once,fault,local_suffix_1,seen,12,-0.002939920560457221,0.04177717938997518,-0.004860062239508846,-0.011785059129767452
A3-DualPos-Once,fault,local_suffix_2,insufficient,12,-0.01018518518518518,0.08754775298942825,-0.028242046087440825,-0.01018518518518518
A3-DualPos-Once,fault,local_suffix_2,seen,12,-0.0025490605257849908,0.04335616400792952,-0.004040553360881595,-0.012428772945199182
