model,condition,grouping,group,contributing_jobs,total_samples,mean_n_per_job,tier3_accuracy_mean,tier3_accuracy_sd,tier3_macro_f1_mean,tier3_macro_f1_sd,node_accuracy_mean,node_accuracy_sd
M2-Direct-RealOrder,all,history_length,0,12,309,25.75,0.8195833333333334,0.15443302134196585,0.7642706453478781,0.22829725757636027,0.8195833333333334,0.15443302134196585
M2-Direct-RealOrder,all,history_length,1-2,12,618,51.5,0.8909722222222222,0.10031002027888425,0.938549927137112,0.10002530771002369,0.8909722222222222,0.10031002027888425
M2-Direct-RealOrder,all,history_length,11-20,12,1857,154.75,0.8518873160362399,0.05189136006498992,0.8483597503880601,0.053183490832607594,0.8492372521792796,0.05494973086245249
M2-Direct-RealOrder,all,history_length,21+,12,489,40.75,0.8296458849337447,0.1066653992276036,0.8096295942477538,0.06080934806024906,0.8260997856429646,0.10425376881998732
M2-Direct-RealOrder,all,history_length,3-5,12,927,77.25,0.8049537037037037,0.15467798241966163,0.8054261899797827,0.14296766676970038,0.8072685185185184,0.15341665470261745
M2-Direct-RealOrder,all,history_length,6-10,12,1485,123.75,0.8275992063492064,0.11803550098254731,0.7823800992866096,0.10895894559753007,0.8225396825396825,0.12294932333849279
M2-Direct-RealOrder,all,stage,1,12,726,60.5,0.8174242424242424,0.06294554854774713,0.8636799648163285,0.046554393480668955,0.8174242424242424,0.06294554854774713
M2-Direct-RealOrder,all,stage,2,12,4191,349.25,0.8371895349378701,0.09231648453674522,0.8455103406116589,0.08133670640450653,0.8342436138593187,0.09428834997409437
M2-Direct-RealOrder,all,stage,3,12,768,64.0,0.860246465043205,0.055939793974178996,0.8929229417097065,0.043936313730403714,0.860246465043205,0.055939793974178996
M2-Direct-RealOrder,all,active_tail,False,12,1740,145.0,0.838952633036205,0.03393417476149846,0.8159980560918668,0.044071202103211506,0.838357394940967,0.03432984764010098
M2-Direct-RealOrder,all,active_tail,True,12,3945,328.75,0.837743801052793,0.10404281811337052,0.8672184847459138,0.06575369839642112,0.8349119313824355,0.1056403489611058
M2-Direct-RealOrder,all,tail_reason,active_incomplete_atomic_prefix,12,3945,328.75,0.837743801052793,0.10404281811337052,0.8672184847459138,0.06575369839642112,0.8349119313824355,0.1056403489611058
M2-Direct-RealOrder,all,tail_reason,atomic_sequence_complete,12,315,26.25,0.8785084078331206,0.04920567433162389,0.8121409102361484,0.04810161053408649,0.8785084078331206,0.04920567433162389
M2-Direct-RealOrder,all,tail_reason,empty_history,12,309,25.75,0.8195833333333334,0.15443302134196585,0.7642706453478781,0.22829725757636027,0.8195833333333334,0.15443302134196585
M2-Direct-RealOrder,all,tail_reason,latest_node_not_atomic,12,864,72.0,0.8201480207203046,0.044438229539649474,0.8320285977638919,0.04830312429525267,0.8201480207203046,0.044438229539649474
M2-Direct-RealOrder,all,tail_reason,observed_atomic_nodes_not_prefix,12,69,5.75,0.96875,0.07769769506350763,0.9898504273504273,0.025561989689319175,0.96875,0.07769769506350763
M2-Direct-RealOrder,all,tail_reason,repeated_node_fallback,12,183,15.25,0.8267746913580246,0.13463908210957531,0.8146397005772005,0.14572579562998286,0.8175154320987654,0.15695752124803405
M2-Direct-RealOrder,normal,tail_reason,repeated_node_fallback,3,21,7.0,0.9047619047619048,0.08247860988423227,0.8888888888888888,0.09912695235553018,0.9047619047619048,0.08247860988423227
A1-Legacy-Once,normal,exact_full_prefix,False,12,1455,121.25,0.8348723574252349,0.03124072380025436,0.8046807364860423,0.055311139880795536,0.8343566991205948,0.029931746538122656
A1-Legacy-Once,normal,exact_full_prefix,True,12,2868,239.0,0.8795606191965012,0.053674290169255325,0.863116017547957,0.03748846407531344,0.8795606191965012,0.053771072575755294
A1-Legacy-Once,normal,local_suffix_1,insufficient,12,228,19.0,0.8609022556390977,0.12015113731294343,0.8007216053235323,0.21210236379389177,0.8609022556390977,0.12015113731294343
