model,participant,seed,condition,grouping,group,n,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
M2-Direct-RealOrder,A,2,normal,local_prefix_3,unseen,16,0.875,0.8722222222222222,0.875,0.8722222222222222
M2-Direct-RealOrder,A,2,normal,history_length,0,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,normal,history_length,1-2,30,0.8,0.9583333333333334,0.8,0.9583333333333334
M2-Direct-RealOrder,A,2,normal,history_length,11-20,101,0.8118811881188119,0.810193642674461,0.8118811881188119,0.8104528478057891
M2-Direct-RealOrder,A,2,normal,history_length,21+,28,0.75,0.7416666666666667,0.75,0.7416666666666666
M2-Direct-RealOrder,A,2,normal,history_length,3-5,45,0.6888888888888889,0.7937908496732027,0.6888888888888889,0.7937908496732026
M2-Direct-RealOrder,A,2,normal,history_length,6-10,75,0.76,0.6978327228327229,0.76,0.6914622816796729
M2-Direct-RealOrder,A,2,normal,stage,1,44,0.8636363636363636,0.8975468975468975,0.8636363636363636,0.8975468975468975
M2-Direct-RealOrder,A,2,normal,stage,2,210,0.7571428571428571,0.7732847371729662,0.7571428571428571,0.7849751167967451
M2-Direct-RealOrder,A,2,normal,stage,3,40,0.825,0.8952380952380953,0.825,0.8952380952380953
M2-Direct-RealOrder,A,2,normal,active_tail,False,83,0.8674698795180723,0.8531461569095978,0.8674698795180723,0.8531461569095977
M2-Direct-RealOrder,A,2,normal,active_tail,True,211,0.7488151658767772,0.8146025323058821,0.7488151658767772,0.836308299749686
M2-Direct-RealOrder,A,2,normal,tail_reason,active_incomplete_atomic_prefix,211,0.7488151658767772,0.8146025323058821,0.7488151658767772,0.836308299749686
M2-Direct-RealOrder,A,2,normal,tail_reason,atomic_sequence_complete,19,0.8947368421052632,0.8605442176870748,0.8947368421052632,0.8605442176870749
M2-Direct-RealOrder,A,2,normal,tail_reason,empty_history,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,normal,tail_reason,latest_node_not_atomic,49,0.8163265306122449,0.8058201058201059,0.8163265306122449,0.8058201058201058
M2-Direct-RealOrder,A,2,fault,exact_full_prefix,False,50,0.6,0.5835748792270532,0.64,0.6403242955874535
M2-Direct-RealOrder,A,2,fault,exact_full_prefix,True,87,0.5977011494252874,0.5740613026819923,0.6091954022988506,0.6053690003483106
M2-Direct-RealOrder,A,2,fault,local_suffix_1,insufficient,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,fault,local_suffix_1,seen,128,0.5703125,0.5564226046925009,0.59375,0.5781991818524327
M2-Direct-RealOrder,A,2,fault,local_suffix_2,insufficient,18,0.7222222222222222,0.7953216374269007,0.7222222222222222,0.7953216374269005
M2-Direct-RealOrder,A,2,fault,local_suffix_2,seen,113,0.5663716814159292,0.559695165945166,0.5929203539823009,0.5834947216526164
M2-Direct-RealOrder,A,2,fault,local_suffix_2,unseen,6,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8888888888888888
M2-Direct-RealOrder,A,2,fault,local_prefix_3,insufficient,27,0.8148148148148148,0.8635477582846004,0.8148148148148148,0.8635477582846004
M2-Direct-RealOrder,A,2,fault,local_prefix_3,seen,99,0.5151515151515151,0.5405284370801613,0.5454545454545454,0.5702817650186072
M2-Direct-RealOrder,A,2,fault,local_prefix_3,unseen,11,0.8181818181818182,0.861111111111111,0.8181818181818182,0.861111111111111
M2-Direct-RealOrder,A,2,fault,history_length,0,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,2,fault,history_length,1-2,18,0.7222222222222222,0.8611111111111112,0.7222222222222222,0.8611111111111112
M2-Direct-RealOrder,A,2,fault,history_length,11-20,44,0.5909090909090909,0.5731601731601732,0.6363636363636364,0.60993080993081
