comparison_model,participant,seed,condition,grouping,group,tier3_accuracy_delta_vs_m2,tier3_macro_f1_delta_vs_m2,node_accuracy_delta_vs_m2
A1-Legacy-Once,A,2,all,tail_reason,observed_atomic_nodes_not_prefix,-0.125,-0.03846153846153855,-0.125
A1-Legacy-Once,A,2,all,tail_reason,repeated_node_fallback,0.11111111111111105,0.02083333333333337,0.2222222222222222
A1-Legacy-Once,A,2,fault,active_tail,False,0.01754385964912275,0.06141995259642319,0.03508771929824561
A1-Legacy-Once,A,2,fault,active_tail,True,0.1875,0.11738111632612913,0.21250000000000002
A1-Legacy-Once,A,2,fault,exact_full_prefix,False,0.040000000000000036,0.021580466317308367,0.08000000000000007
A1-Legacy-Once,A,2,fault,exact_full_prefix,True,0.16091954022988497,0.08301044476797659,0.17241379310344818
A1-Legacy-Once,A,2,fault,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,2,fault,history_length,1-2,0.2222222222222222,0.11965811965811957,0.2222222222222222
A1-Legacy-Once,A,2,fault,history_length,11-20,0.06818181818181823,-0.004653679653679688,0.11363636363636365
A1-Legacy-Once,A,2,fault,history_length,21+,0.0,0.11111111111111105,0.0
A1-Legacy-Once,A,2,fault,history_length,3-5,0.2962962962962963,0.19127747252747251,0.2962962962962963
A1-Legacy-Once,A,2,fault,history_length,6-10,0.033333333333333326,0.09333333333333338,0.06666666666666665
A1-Legacy-Once,A,2,fault,local_prefix_3,insufficient,0.14814814814814814,0.11252061778377564,0.14814814814814814
A1-Legacy-Once,A,2,fault,local_prefix_3,seen,0.1515151515151516,0.09923178809494593,0.18181818181818188
A1-Legacy-Once,A,2,fault,local_prefix_3,unseen,-0.2727272727272728,-0.27222222222222214,-0.2727272727272728
A1-Legacy-Once,A,2,fault,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,2,fault,local_suffix_1,seen,0.125,0.09608076042750957,0.1484375
A1-Legacy-Once,A,2,fault,local_suffix_2,insufficient,0.2222222222222222,0.16878092667566347,0.2222222222222222
A1-Legacy-Once,A,2,fault,local_suffix_2,seen,0.11504424778761058,0.0669547891540373,0.1415929203539823
