condition,participant,seed,split,stage,samples,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
A0,J,2,test_all,2,424,0.9787735849056604,0.9798673366107576,0.9787735849056604,0.9750459587387974
A0,J,2,test_all,3,76,0.8026315789473685,0.8442186571598336,0.8026315789473685,0.8442186571598336
A0,J,2,test_normal,1,33,0.9393939393939394,0.9318181818181818,0.9393939393939394,0.9318181818181818
A0,J,2,test_normal,2,294,0.9897959183673469,0.9913660813162474,0.9897959183673469,0.9879125138427464
A0,J,2,test_normal,3,60,0.8166666666666667,0.8511821511821511,0.8166666666666667,0.8511821511821511
A0,J,2,test_fault,1,22,0.8636363636363636,0.8787878787878789,0.8636363636363636,0.8787878787878788
A0,J,2,test_fault,2,130,0.9538461538461539,0.9540955776249894,0.9538461538461539,0.9459107662203639
A0,J,2,test_fault,3,16,0.75,0.75,0.75,0.75
A0,J,42,test_all,1,55,0.9272727272727272,0.9489898989898989,0.9272727272727272,0.948989898989899
A0,J,42,test_all,2,424,0.9504716981132075,0.9481107644664901,0.9504716981132075,0.958707247316694
A0,J,42,test_all,3,76,0.8421052631578947,0.8779084967320262,0.8421052631578947,0.8779084967320262
A0,J,42,test_normal,1,33,1.0,1.0,1.0,1.0
A0,J,42,test_normal,2,294,0.9523809523809523,0.9476938888365336,0.9523809523809523,0.9635234732038075
A0,J,42,test_normal,3,60,0.8666666666666667,0.8873126873126875,0.8666666666666667,0.8873126873126873
A0,J,42,test_fault,1,22,0.8181818181818182,0.8333333333333333,0.8181818181818182,0.8333333333333333
A0,J,42,test_fault,2,130,0.9461538461538461,0.9462055874981571,0.9461538461538461,0.9461524689620665
A0,J,42,test_fault,3,16,0.75,0.7916666666666666,0.75,0.7916666666666666
A0,M,1,test_all,1,55,0.7454545454545455,0.8126262626262627,0.7454545454545455,0.8126262626262626
A0,M,1,test_all,2,325,0.9507692307692308,0.9565281171045596,0.9507692307692308,0.9401917547036474
A0,M,1,test_all,3,67,0.8208955223880597,0.8701151789387083,0.8208955223880597,0.8701151789387083
A0,M,1,test_normal,1,44,0.6818181818181818,0.7521645021645021,0.6818181818181818,0.7521645021645021
A0,M,1,test_normal,2,266,0.9548872180451128,0.9592091259854418,0.9548872180451128,0.9441581776450197
A0,M,1,test_normal,3,50,0.8,0.8432539682539684,0.8,0.8432539682539684
A0,M,1,test_fault,1,11,1.0,1.0,1.0,1.0
A0,M,1,test_fault,2,59,0.9322033898305084,0.9449677306820164,0.9322033898305084,0.9229548229548229
A0,M,1,test_fault,3,17,0.8823529411764706,0.9037037037037037,0.8823529411764706,0.9037037037037037
A0,M,2,test_all,1,55,0.7272727272727273,0.7929292929292928,0.7272727272727273,0.792929292929293
A0,M,2,test_all,2,325,0.9353846153846154,0.9472262865228561,0.9353846153846154,0.9403155124246705
A0,M,2,test_all,3,67,0.8955223880597015,0.9233333333333335,0.8955223880597015,0.9233333333333332
A0,M,2,test_normal,1,44,0.6818181818181818,0.7575757575757575,0.6818181818181818,0.7575757575757577
A0,M,2,test_normal,2,266,0.9398496240601504,0.9503162026381843,0.9398496240601504,0.9423506429698382
A0,M,2,test_normal,3,50,0.88,0.9116161616161615,0.88,0.9116161616161615
A0,M,2,test_fault,1,11,0.9090909090909091,0.8787878787878788,0.9090909090909091,0.8787878787878788
A0,M,2,test_fault,2,59,0.9152542372881356,0.9317460317460319,0.9152542372881356,0.9323809523809524
A0,M,2,test_fault,3,17,0.9411764705882353,0.9407407407407408,0.9411764705882353,0.9407407407407408
A0,M,42,test_all,1,55,0.8,0.8712121212121211,0.8,0.8712121212121211
A0,M,42,test_all,2,325,0.9015384615384615,0.9178556341131141,0.9015384615384615,0.9179778756710112
A0,M,42,test_all,3,67,0.8507462686567164,0.9082517482517483,0.8507462686567164,0.9082517482517481
A0,M,42,test_normal,1,44,0.75,0.8311688311688311,0.75,0.8311688311688311
A0,M,42,test_normal,2,266,0.8947368421052632,0.9131742402144016,0.8947368421052632,0.9132121945168041
A0,M,42,test_normal,3,50,0.82,0.8876984126984127,0.82,0.8876984126984127
A0,M,42,test_fault,1,11,1.0,1.0,1.0,1.0
A0,M,42,test_fault,2,59,0.9322033898305084,0.9393939393939394,0.9322033898305084,0.943255643565241
A0,M,42,test_fault,3,17,0.9411764705882353,0.9407407407407408,0.9411764705882353,0.9407407407407408
