condition,participant,seed,split,stage,samples,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
S9,A,1,test_fault,2,98,,,0.2755102040816326,0.29110334110334113
S9,A,1,test_fault,3,17,,,0.11764705882352941,0.13333333333333333
S10,A,1,test_all,1,66,,,0.16666666666666666,0.21176046176046173
S10,A,1,test_all,2,308,,,0.38636363636363635,0.4109610804726146
S10,A,1,test_all,3,57,,,0.3508771929824561,0.3853016428016428
S10,A,1,test_normal,1,44,,,0.13636363636363635,0.16363636363636364
S10,A,1,test_normal,2,210,,,0.41904761904761906,0.4437536537831603
S10,A,1,test_normal,3,40,,,0.375,0.395
S10,A,1,test_fault,1,22,,,0.22727272727272727,0.2727272727272727
S10,A,1,test_fault,2,98,,,0.3163265306122449,0.3266319203672145
S10,A,1,test_fault,3,17,,,0.29411764705882354,0.30666666666666664
S11,A,1,test_all,1,66,,,0.696969696969697,0.707948617039526
S11,A,1,test_all,2,308,,,0.7532467532467533,0.7525430590578837
S11,A,1,test_all,3,57,,,0.7192982456140351,0.7428538128538128
S11,A,1,test_normal,1,44,,,0.6818181818181818,0.683982683982684
S11,A,1,test_normal,2,210,,,0.8095238095238095,0.7997247273353694
S11,A,1,test_normal,3,40,,,0.775,0.7801587301587302
S11,A,1,test_fault,1,22,,,0.7272727272727273,0.7272727272727273
S11,A,1,test_fault,2,98,,,0.6326530612244898,0.6415811284232337
S11,A,1,test_fault,3,17,,,0.5882352941176471,0.58
S12,A,1,test_all,1,66,,,0.6515151515151515,0.6862904771995681
S12,A,1,test_all,2,308,,,0.6915584415584416,0.6801758722386508
S12,A,1,test_all,3,57,,,0.543859649122807,0.6082828282828283
S12,A,1,test_normal,1,44,,,0.6818181818181818,0.7124098124098124
S12,A,1,test_normal,2,210,,,0.7333333333333333,0.7136253117303527
S12,A,1,test_normal,3,40,,,0.575,0.6073809523809524
S12,A,1,test_fault,1,22,,,0.5909090909090909,0.5757575757575757
S12,A,1,test_fault,2,98,,,0.6020408163265306,0.6029771143490656
S12,A,1,test_fault,3,17,,,0.47058823529411764,0.5333333333333333
