condition,participant,seed,split,class_id,support,precision,recall,f1
S3,A,1,test_all,1,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S3,A,1,test_all,2,6,1.0,1.0,1.0
S3,A,1,test_all,3,6,0.6666666666666666,1.0,0.8
S3,A,1,test_all,4,6,0.0,0.0,0.0
S3,A,1,test_all,5,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
S3,A,1,test_all,6,6,1.0,0.3333333333333333,0.5
S3,A,1,test_all,7,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
S3,A,1,test_all,8,6,0.8571428571428571,1.0,0.923076923076923
S3,A,1,test_all,9,6,0.4,1.0,0.5714285714285715
S3,A,1,test_all,10,6,1.0,1.0,1.0
S3,A,1,test_all,11,24,0.4722222222222222,0.7083333333333334,0.5666666666666667
S3,A,1,test_all,12,24,0.95,0.7916666666666666,0.8636363636363635
S3,A,1,test_all,13,24,0.9583333333333334,0.9583333333333334,0.9583333333333334
S3,A,1,test_all,14,24,1.0,0.9583333333333334,0.9787234042553191
S3,A,1,test_all,15,21,0.9523809523809523,0.9523809523809523,0.9523809523809523
S3,A,1,test_all,16,21,1.0,1.0,1.0
S3,A,1,test_all,17,21,1.0,1.0,1.0
S3,A,1,test_all,18,21,1.0,1.0,1.0
S3,A,1,test_all,19,21,1.0,0.9523809523809523,0.975609756097561
S3,A,1,test_all,20,21,0.9545454545454546,1.0,0.9767441860465117
S3,A,1,test_all,21,21,1.0,1.0,1.0
S3,A,1,test_all,22,17,1.0,1.0,1.0
S3,A,1,test_all,23,24,0.9,0.375,0.5294117647058825
S3,A,1,test_all,24,24,0.9375,0.625,0.75
S3,A,1,test_all,25,6,0.8571428571428571,1.0,0.923076923076923
S3,A,1,test_all,26,6,1.0,1.0,1.0
S3,A,1,test_all,27,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
S3,A,1,test_all,28,6,1.0,0.5,0.6666666666666666
S3,A,1,test_all,29,6,1.0,1.0,1.0
S3,A,1,test_all,30,6,1.0,0.6666666666666666,0.8
S3,A,1,test_all,31,6,0.5454545454545454,1.0,0.7058823529411764
S3,A,1,test_all,32,5,1.0,1.0,1.0
S3,A,1,test_all,33,5,0.23529411764705882,0.8,0.3636363636363636
S3,A,1,test_all,34,5,1.0,0.2,0.33333333333333337
S3,A,1,test_normal,0,4,1.0,0.75,0.8571428571428571
S3,A,1,test_normal,1,4,0.6666666666666666,1.0,0.8
S3,A,1,test_normal,2,4,1.0,1.0,1.0
S3,A,1,test_normal,3,4,0.6666666666666666,1.0,0.8
S3,A,1,test_normal,4,4,0.0,0.0,0.0
S3,A,1,test_normal,5,4,0.6,0.75,0.6666666666666665
S3,A,1,test_normal,6,4,1.0,0.25,0.4
S3,A,1,test_normal,7,4,0.8,1.0,0.888888888888889
S3,A,1,test_normal,8,4,1.0,1.0,1.0
S3,A,1,test_normal,9,4,0.4444444444444444,1.0,0.6153846153846153
S3,A,1,test_normal,10,4,1.0,1.0,1.0
S3,A,1,test_normal,11,15,0.5,0.6666666666666666,0.5714285714285715
S3,A,1,test_normal,12,15,1.0,0.8666666666666667,0.9285714285714286
S3,A,1,test_normal,13,15,1.0,0.9333333333333333,0.9655172413793104
S3,A,1,test_normal,14,15,1.0,1.0,1.0
S3,A,1,test_normal,15,15,0.9375,1.0,0.967741935483871
S3,A,1,test_normal,16,15,1.0,1.0,1.0
S3,A,1,test_normal,17,15,1.0,1.0,1.0
S3,A,1,test_normal,18,15,1.0,1.0,1.0
S3,A,1,test_normal,19,15,1.0,1.0,1.0
S3,A,1,test_normal,20,15,0.9375,1.0,0.967741935483871
S3,A,1,test_normal,21,15,1.0,1.0,1.0
S3,A,1,test_normal,22,15,1.0,1.0,1.0
S3,A,1,test_normal,23,15,1.0,0.4666666666666667,0.6363636363636364
S3,A,1,test_normal,24,15,0.9285714285714286,0.8666666666666667,0.896551724137931
S3,A,1,test_normal,25,4,1.0,1.0,1.0
S3,A,1,test_normal,26,4,1.0,1.0,1.0
S3,A,1,test_normal,27,4,0.8,1.0,0.888888888888889
S3,A,1,test_normal,28,4,1.0,0.5,0.6666666666666666
S3,A,1,test_normal,29,4,1.0,1.0,1.0
S3,A,1,test_normal,30,4,1.0,0.75,0.8571428571428571
S3,A,1,test_normal,31,4,0.5714285714285714,1.0,0.7272727272727273
S3,A,1,test_normal,32,4,1.0,1.0,1.0
S3,A,1,test_normal,33,4,0.375,0.75,0.5
S3,A,1,test_normal,34,4,1.0,0.25,0.4
S3,A,1,test_fault,0,2,1.0,1.0,1.0
S3,A,1,test_fault,1,2,0.3333333333333333,0.5,0.4
S3,A,1,test_fault,2,2,1.0,1.0,1.0
S3,A,1,test_fault,3,2,0.6666666666666666,1.0,0.8
S3,A,1,test_fault,4,2,0.0,0.0,0.0
S3,A,1,test_fault,5,2,1.0,0.5,0.6666666666666666
S3,A,1,test_fault,6,2,1.0,0.5,0.6666666666666666
S3,A,1,test_fault,7,2,0.5,0.5,0.5
S3,A,1,test_fault,8,2,0.6666666666666666,1.0,0.8
S3,A,1,test_fault,9,2,0.3333333333333333,1.0,0.5
S3,A,1,test_fault,10,2,1.0,1.0,1.0
S3,A,1,test_fault,11,9,0.4375,0.7777777777777778,0.56
S3,A,1,test_fault,12,9,0.8571428571428571,0.6666666666666666,0.75
S3,A,1,test_fault,13,9,0.9,1.0,0.9473684210526316
S3,A,1,test_fault,14,9,1.0,0.8888888888888888,0.9411764705882353
S3,A,1,test_fault,15,6,1.0,0.8333333333333334,0.9090909090909091
S3,A,1,test_fault,16,6,1.0,1.0,1.0
S3,A,1,test_fault,17,6,1.0,1.0,1.0
S3,A,1,test_fault,18,6,1.0,1.0,1.0
S3,A,1,test_fault,19,6,1.0,0.8333333333333334,0.9090909090909091
S3,A,1,test_fault,20,6,1.0,1.0,1.0
S3,A,1,test_fault,21,6,1.0,1.0,1.0
S3,A,1,test_fault,22,2,1.0,1.0,1.0
S3,A,1,test_fault,23,9,0.6666666666666666,0.2222222222222222,0.3333333333333333
S3,A,1,test_fault,24,9,1.0,0.2222222222222222,0.3636363636363636
S3,A,1,test_fault,25,2,0.6666666666666666,1.0,0.8
S3,A,1,test_fault,26,2,1.0,1.0,1.0
S3,A,1,test_fault,27,2,1.0,0.5,0.6666666666666666
S3,A,1,test_fault,28,2,1.0,0.5,0.6666666666666666
S3,A,1,test_fault,29,2,1.0,1.0,1.0
S3,A,1,test_fault,30,2,1.0,0.5,0.6666666666666666
S3,A,1,test_fault,31,2,0.5,1.0,0.6666666666666666
S3,A,1,test_fault,32,1,1.0,1.0,1.0
S3,A,1,test_fault,33,1,0.1111111111111111,1.0,0.19999999999999998
S3,A,1,test_fault,34,1,0.0,0.0,0.0
S4,A,1,test_all,0,6,0.6666666666666666,1.0,0.8
S4,A,1,test_all,1,6,0.6,1.0,0.7499999999999999
S4,A,1,test_all,2,6,1.0,0.6666666666666666,0.8
S4,A,1,test_all,3,6,0.4444444444444444,0.6666666666666666,0.5333333333333333
S4,A,1,test_all,4,6,0.0,0.0,0.0
S4,A,1,test_all,5,6,1.0,0.6666666666666666,0.8
S4,A,1,test_all,6,6,1.0,0.3333333333333333,0.5
S4,A,1,test_all,7,6,0.625,0.8333333333333334,0.7142857142857143
S4,A,1,test_all,8,6,0.5454545454545454,1.0,0.7058823529411764
